Rank,team,Record,PlayersActive,Avg AgeTeam,cap_total,cap_space,active_payroll,ActiveTop 3,dead_cap,player_id,team_id,season
1,DET,44-38,15,25.0,141808220,-1220220,133989678,"$56,559,037",7818542.0,,1610612765,2024-25
2,ORL,41-41,15,25.3,152959238,-12371238,152959238,"$63,257,000",,,1610612753,2024-25
3,UTA,17-65,15,23.9,154114022,-13526022,142648013,"$86,906,400",11466009.0,,1610612762,2024-25
4,SAS,34-48,15,25.2,162809380,-22221380,155231927,"$83,196,166",7577453.0,,1610612759,2024-25
5,OKC,68-14,15,24.2,166001694,-25413694,162209242,"$82,859,950",3792452.0,,1610612760,2024-25
6,CHA,19-63,16,25.3,167423486,-26835486,152543889,"$80,445,913",14879597.0,,1610612766,2024-25
7,MEM,48-34,15,24.6,167814933,-27226933,155850296,"$95,988,718",8014853.0,,1610612763,2024-25
8,CHI,39-43,15,24.6,168006873,-27418873,157180244,"$59,395,348",8739110.0,,1610612741,2024-25
9,PHI,24-58,15,26.6,170340647,-29752647,169548876,"$135,768,738",791771.0,,1610612755,2024-25
10,IND,50-32,15,25.7,171232577,-30644577,166839774,"$104,281,300",2530538.0,,1610612754,2024-25
11,SAC,40-42,15,27.4,171370782,-30782782,166101303,"$107,131,940",1319695.0,,1610612758,2024-25
12,HOU,52-30,15,25.7,173496349,-32908349,161552948,"$78,702,108",7768363.0,,1610612745,2024-25
13,ATL,40-42,15,25.3,174418704,-33830704,161255749,"$81,912,604",7125652.0,,1610612737,2024-25
14,LAC,50-32,15,27.7,174670238,-34082238,166986734,"$102,101,025",3733720.0,,1610612746,2024-25
15,POR,36-46,15,23.9,176848446,-36260446,165518581,"$89,691,087",1568032.0,,1610612757,2024-25
16,CLE,64-18,15,26.0,178212347,-37624347,169371096,"$93,832,409",491175.0,,1610612739,2024-25
17,TOR,30-52,15,24.9,178496026,-37908026,154302912,"$94,310,843",16405595.0,,1610612761,2024-25
18,MIA,37-45,15,26.6,179350729,-38762729,173088172,"$90,125,126",,,1610612748,2024-25
19,NOP,21-61,16,24.4,182966321,-42378321,168054067,"$98,876,138",2595136.0,,1610612740,2024-25
20,BKN,26-56,15,23.8,182994572,-42406572,112077151,"$69,311,624",58408905.0,,1610612751,2024-25
21,DAL,39-43,15,26.8,187147472,-46559472,172077663,"$99,092,456",2328828.0,,1610612742,2024-25
22,NYK,51-31,15,26.5,188877651,-48289651,188001268,"$110,803,733",876383.0,,1610612752,2024-25
23,DEN,50-32,15,26.0,192786656,-52198656,182574315,"$123,292,088",,,1610612743,2024-25
24,MIL,48-34,15,26.7,195746447,-55158447,183221333,"$122,031,412",,,1610612749,2024-25
25,BOS,61-21,15,27.5,199135748,-58547748,193098445,"$114,054,140",,,1610612738,2024-25
26,GSW,48-34,15,27.2,199518342,-58930342,176474440,"$128,667,036",306447.0,,1610612744,2024-25
27,LAL,50-32,15,27.7,200785985,-60197985,182745885,"$108,760,785",5514986.0,,1610612747,2024-25
28,WAS,18-64,16,24.6,211677970,-71089970,162701928,"$83,151,786",6901359.0,,1610612764,2024-25
29,PHX,36-46,15,28.1,228464502,-87876502,210557299,"$150,588,751",3814041.0,,1610612756,2024-25
30,MIN,49-33,15,26.1,236725861,-96137861,198847571,"$119,077,906",3705899.0,,1610612750,2024-25
