YEAR,CAP_MINIMUM,CAP_MAXIMUM,CAP_DOLLARS_PLUS_MINUS,CAP_PERCENT_PLUS_MINUS,LEAGUE_YEAR,FREE_AGENCY,START_DATE,TRADE_DEADLINE,END_DATE
2025,139182000,154647000,14059000,10.00%,06/30/25,07/01/25,10/21/25,02/05/26,04/12/26
2024,126529000,140588000,4567000,3.36%,06/30/24,07/01/24,10/22/24,02/06/25,04/13/25
2023,122418900,136021000,12366000,10.00%,06/30/23,07/01/23,10/24/23,02/08/24,04/14/24
2022,111290000,123655000,11241000,10.00%,06/30/22,07/01/22,10/17/22,02/09/23,04/10/23
2021,101173000,112414000,3274000,3.00%,08/01/21,08/01/21,10/19/21,02/10/22,04/10/22
2020,98226000,109140000,0,0.00%,11/20/20,11/20/20,12/22/20,02/06/21,05/16/21
2019,98226000,109140000,7271000,7.14%,06/30/19,06/30/19,10/22/19,02/06/20,04/15/20
2018,91682000,101869000,2776000,2.80%,07/01/17,07/06/18,10/16/18,02/07/19,04/10/19
2017,89184000,99093000,4950000,5.26%,07/01/17,07/06/17,10/17/17,02/08/18,04/11/18
2016,84729000,94143000,24143000,34.49%,07/01/16,07/07/16,10/25/16,02/23/17,04/12/17
2015,63000000,70000000,6935000,11.00%,07/01/15,07/09/15,10/27/15,02/18/16,04/13/16
2014,56759000,63065000,4386000,7.47%,07/01/14,07/10/14,10/28/14,02/19/15,04/15/15
2013,52224310,58679000,635000,1.09%,07/01/13,07/10/13,10/29/13,02/20/14,04/16/14
2012,46435000,58044000,0,0.00%,07/01/12,07/01/12,10/30/12,02/21/13,04/17/13
2011,46435000,58044000,4000,0.01%,12/08/11,12/08/11,12/25/11,03/15/12,04/26/12
